VEHICLE_CLASS,ENGINE_SIZE_L_,FuelConsCity,FuelConsHwy,CityMPG,HwyMPG,CO2
SUV - STAND,4,12.7,9.4,22,30,258
SUV - STAND,4,12.7,9.4,22,30,258
MID-SIZE,3.5,9.9,6.4,29,44,191
MID-SIZE,2.5,8.2,5.5,34,51,161
MID-SIZE,3.5,9.7,6.5,29,43,191
MID-SIZE,2.5,4.5,4.9,63,58,108
MID-SIZE,2.5,4.7,5.1,60,55,113
MID-SIZE,1.8,7.4,5.4,38,52,150
MID-SIZE,1.8,6.9,5.2,41,54,140
MID-SIZE,1.8,6.8,4.9,42,58,136
MID-SIZE,1.8,7.1,5.2,40,54,145
MID-SIZE,1.8,6.5,4.6,43,61,131
MID-SIZE,1.8,6.6,4.9,43,58,133
STATION WAG,1.8,8.1,6.3,35,45,168
STATION WAG,1.8,7.7,6.1,37,46,161
SUV - SMALL,4,12.7,9.5,22,30,260
SUV - SMALL,4,13.8,10.3,20,27,281
SUV - SMALL,2.7,10.3,7.2,27,39,205
SUV - SMALL,3.5,11.1,7.9,25,36,221
SUV - STAND,3.5,11.5,8.2,25,34,230
SUV - STAND,3.5,6.8,7.2,42,39,161
SUV - STAND,3.5,6.7,7.2,42,39,159
MID-SIZE,1.8,3.7,4,76,71,87
COMPACT,1.5,3.6,4,78,71,87
STATION WAG,1.8,4.3,4.8,66,59,104
SUV - SMALL,2.5,8.7,6.4,32,44,177
SUV - SMALL,2.5,9.1,6.8,31,42,186
SUV - SMALL,2.5,9.3,6.9,30,41,189
SUV - STAND,5.7,17.2,11.9,16,24,340
MINIVAN,3.5,11.4,7.9,25,36,225
MINIVAN,3.5,12.6,8.7,22,32,251
PICKUP TRUC,2.7,10.8,7.8,26,36,216
PICKUP TRUC,2.7,9.9,7.5,29,38,202
PICKUP TRUC,4,12.9,9.6,22,29,262
PICKUP TRUC,2.7,11.6,8.9,24,32,239
PICKUP TRUC,2.7,11.3,9,25,31,237
PICKUP TRUC,4,13.1,9.8,22,29,269
PICKUP TRUC,4,13.7,10.5,21,27,283
PICKUP TRUC,4,13.2,10,21,28,271
PICKUP TRUC,4.6,14.2,10.5,20,27,288
PICKUP TRUC,5.7,15.8,11,18,26,313
PICKUP TRUC,4.6,15.2,10.9,19,26,306
PICKUP TRUC,5.7,16.3,11.9,17,24,329
SUV - SMALL,2.7,10,6.9,28,41,198
SUV - SMALL,3.5,11.1,7.7,25,37,221
SUV - SMALL,2.7,10.2,7.1,28,40,202
SUV - SMALL,3.5,11.4,7.9,25,36,225
COMPACT,1.5,6.7,5.5,42,51,140
COMPACT,1.5,6.6,5.2,43,54,138
COMPACT,1.8,8.2,6,34,47,166
COMPACT,1.8,8.6,6,33,47,170
COMPACT,2.5,9.5,7.1,30,40,193
COMPACT,2.5,9.9,6.4,29,44,191
SUBCOMPACT,1.8,8.5,6.1,33,46,170
SUBCOMPACT,2.5,9.8,7.3,29,39,200
STATION WAG,2.5,9.6,6.5,29,43,189
STATION WAG,2.5,9.9,6.1,29,46,189
COMPACT,1.8,8.2,5.6,34,50,163
COMPACT,1.8,8.1,5.6,35,50,161
COMPACT,2,9.3,6.7,30,42,186
COMPACT,2,9.1,6,31,47,177
MID-SIZE,1.8,8.6,5.8,33,49,168
MID-SIZE,1.8,8.7,5.7,32,50,168
MID-SIZE,2.5,9.6,6.7,29,42,191
MID-SIZE,2.5,10.1,6.5,28,43,196
MINIVAN,3.6,12.6,8,22,35,242
COMPACT,2.5,9.9,6.5,29,43,193
COMPACT,2.5,10.2,7,28,40,202
COMPACT,3,11.7,8,24,35,230
MID-SIZE,3.2,10.5,6.8,27,42,205
MID-SIZE,3,11.7,8,24,35,230
SUV - SMALL,3.2,11.5,7.5,25,38,223
SUV - SMALL,3,11.9,8.3,24,34,237
SUV - SMALL,3.2,11.7,8,24,35,230
SUV - SMALL,3,11.9,8.3,24,34,237
SUV - SMALL,3.2,11.4,7.8,25,36,225
SUV - STAND,3.2,13.3,8.6,21,33,258
